name,luminosity,semi_major_axis,radius,mass,density,eccentricity,albedo
Earth,1.0,1.0,1.0,0.9,1.0,0.017,0.30
Venus,1.0,0.723,0.949,0.815,0.95,0.0067,0.75
Mars,1.0,1.524,0.532,0.107,0.71,0.0934,0.25
Jupiter,1.0,5.204,11.21,317.8,0.24,0.0489,0.34
Saturn,1.0,9.582,9.45,95.2,0.12,0.0565,0.34
Neptune,1.0,30.05,3.88,17.1,0.30,0.0095,0.29
Kepler-186f,0.0412,0.432,1.17,1.71,1.07,0.04,0.30
Proxima Centauri b,0.00155,0.0485,1.03,1.17,1.07,0.11,0.30
TRAPPIST-1e,0.000553,0.0293,0.92,0.69,0.89,0.008,0.30
Kepler-22b,0.79,0.849,2.38,9.1,0.67,0.0,0.30
HD 209458 b,1.61,0.0475,15.5,219.0,0.06,0.0,0.10
Kepler-452b,1.2,1.046,1.63,5.0,1.15,0.035,0.30
WASP-12b,2.1,0.0229,21.3,467.0,0.05,0.0,0.06
Gliese 667 C c,0.0137,0.125,1.54,3.8,1.04,0.27,0.30
TOI-700 d,0.023,0.163,1.14,1.72,1.16,0.03,0.30
Kepler-442b,0.12,0.409,1.34,2.36,0.98,0.04,0.30
K2-18b,0.023,0.159,2.61,8.63,0.48,0.20,0.30
LHS 1140 b,0.0044,0.0936,1.70,5.6,1.14,0.06,0.30
